scenario;scena1;prc.Striped_catfish;prc.Silver_Carp;prc.Clarias_macrocephalus;prc.Common_carp;EE.Macroinvertebrate;EE.Zooplancton;EE.Phytoplancton;EE.Feed;EE.Detritus;RDT;FCI;Profitability;n
scenario13090;13090;48;8;10;34;0.509457097;0.669288895;0.556145912;1.292080508;0.368830876;3825.226204;0.151838507;3766.348398;9
scenario13091;13091;46;10;10;34;0.50895826;0.66979835;0.557755964;1.302805079;0.370581495;3735.392821;0.152254875;3713.743777;9
scenario13092;13092;44;12;10;34;0.508459424;0.670307806;0.559366016;1.314504611;0.372347206;3645.559437;0.15267349;3661.139156;9
scenario13093;13093;42;14;10;34;0.507960587;0.670817261;0.560976068;1.327318384;0.374128204;3555.726054;0.153094368;3608.534535;9
scenario13094;13094;40;16;10;34;0.50746175;0.671326716;0.56258612;1.341413534;0.37592469;3465.89267;0.153517528;3555.929914;9
scenario13095;13095;38;18;10;34;0.506962914;0.671836171;0.564196172;1.356992384;0.377736866;3376.059286;0.153942987;3503.325293;9
scenario13096;13096;36;20;10;34;0.506464077;0.672345626;0.565806224;1.374302217;0.379564939;3286.225903;0.154370764;3450.720672;9
scenario13097;13097;34;22;10;34;0.505965241;0.672855082;0.567416276;1.393648502;0.381409118;3196.392519;0.154800876;3398.116051;9
scenario13098;13098;32;24;10;34;0.505466404;0.673364537;0.569026328;1.415413072;0.383269618;3106.559135;0.155233341;3345.51143;9
scenario13099;13099;30;26;10;34;0.504967567;0.673873992;0.57063638;1.440079585;0.385146656;3016.725752;0.15566818;3292.906809;9
scenario131;131;16;76;6;2;0.38740564;0.649743744;0.610536226;1.088944521;0.398613285;2086.457663;0.163419943;2472.522859;9
scenario1310;1310;78;8;10;4;0.438011281;0.642791715;0.556386276;1.06327349;0.344205491;4958.676698;0.149008889;4234.342319;9
scenario13100;13100;28;28;10;34;0.504468731;0.674383447;0.572246432;1.468269885;0.387040453;2926.892368;0.156105409;3240.302188;9
scenario13101;13101;26;30;10;34;0.503969894;0.674892903;0.573856484;1.500797154;0.388951235;2837.058984;0.156545048;3187.697567;9
scenario13102;13102;24;32;10;34;0.503471058;0.675402358;0.575466536;1.538745635;0.390879232;2747.225601;0.156987116;3135.092946;9
scenario13103;13103;22;34;10;34;0.502972221;0.675911813;0.577076588;1.58359384;0.392824677;2657.392217;0.157431633;3082.488326;9
scenario13104;13104;20;36;10;34;0.502473384;0.676421268;0.57868664;1.637411686;0.394787808;2567.558833;0.157878617;3029.883705;9
scenario13105;13105;18;38;10;34;0.501974548;0.676930723;0.580296692;1.703189053;0.396768868;2477.72545;0.158328089;2977.279084;9
